PRECTOTCORR,QV2M,PS,WS50M,T2M,TS,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_PAR_TOT,WS2M
0.03,11.05,101.45,5.45,21.97,22.3,6.86,4.24,1.76,151.1,141,3.34
7.36,13,101.06,5.95,21.55,21.78,4.28,4.66,2.1,153.01,92.2,3.67
27.69,14.34,100.59,10.49,21.3,21.36,1.41,8.5,2.09,152.01,33.7,6.69
2.78,13.73,100.82,4.78,21.86,22.74,7,3.98,1.3,128.27,145.1,3.21
0.84,14.04,101.17,3.02,22.27,23.18,7.29,2.6,1.59,130.7,151,2.11
0.91,13.79,101.01,7.34,23.97,23.44,7.15,5.21,1.8,142.87,147.5,3.97
2.57,9.46,101.33,2.91,19.57,21.19,2.01,2.46,2.14,153.36,45.5,2.08
1.04,10.56,100.99,4.45,20.48,21.71,6.99,3.73,1.92,145.39,143.6,3.08
0.31,12.21,101.03,6,22,22.46,7.88,4.74,2.15,148.48,159.3,3.77
2.5,11.9,101.3,4.8,22.13,22.32,7.76,3.5,1.88,136.38,157.2,2.66
0,10.13,101.86,3.69,21.42,22.12,6.63,2.98,1.97,137.34,136.6,2.44
1.3,11.9,101.93,3.48,21.3,21.36,3.07,2.82,1.96,134.46,68.6,2.26
6.03,11.41,102.13,6.19,20.58,21.19,2.94,5.23,0.73,126.73,67.2,4.27
62.61,13.61,102.09,8.2,20.15,20.62,0.62,6.93,0.5,148.86,16,5.53
8.85,15.44,101.66,5.64,22.11,22.05,2.73,4.27,1.92,142.43,63,3.37
1.51,13.31,101.63,3.35,20.67,21.75,4.44,2.9,1.77,140.95,96.3,2.41
2.35,13.18,101.75,3.19,20.77,21.77,3.94,2.77,0.5,147.16,87,2.28
3.13,14.77,101.83,4.29,22.13,22.4,4.96,3.49,2.01,147.04,107.2,2.8
10.53,16.54,101.85,5.46,23.06,23.04,5.59,4.2,0.5,136.55,118.6,3.26
8.85,16.48,101.59,3.84,23.01,23.04,3.73,2.74,1.95,138.15,83.3,2.13
6.03,17.03,101.39,6.96,24.19,23.55,6.51,4.61,1.43,123.44,135.3,3.48
13.55,17.15,101.36,7.23,23.86,23.25,3.09,4.92,0.95,109.98,70.2,3.76
1.64,13.85,101.38,3.59,22.9,23.15,5.64,2.87,1.55,125.18,118.6,2.33
0.35,10.93,101.38,4.02,22.4,22.65,7.7,3.32,0.5,130.21,155.3,2.7
1.22,12.76,101.5,6.38,21.98,22.01,4.54,5.25,0.5,120.77,97,4.23
3.29,17.4,101.11,8.83,25.21,24.19,5.85,5.95,1.88,131.91,120.8,4.48
1.14,15.62,101.23,5.45,25.33,24.37,6.87,3.45,1.86,130.12,142.1,2.34
2.14,16.36,101.04,7.01,25.1,24.48,5.64,4.73,0.5,118.8,117.6,3.58
0.11,15.38,101.01,3.63,24.55,24.52,6.17,2.77,0.9,120.61,127.3,2.22
7.89,14.95,101.1,2.41,23.8,24.02,5.32,2.03,0.88,122.48,112.1,1.66
20.43,13.43,101.08,8.16,21.36,22.44,3.02,6.84,1.11,114.21,68,5.54
3.61,12.33,101.19,9.55,20,21.47,1.58,8.05,1.51,125.57,38,6.49
10.52,13,101.2,7.97,19.86,20.8,0.77,6.66,1.85,133.61,19,5.37
3.21,13.24,101.45,4.71,21.51,21.65,5.68,3.59,1.7,129.84,117.4,2.84
2.18,13.37,101.07,7.84,22.52,21.87,6.56,5.51,0.5,112.52,133.5,4.2
0.46,10.38,101.45,4.78,20.34,20.93,6.71,3.86,1.64,126.68,135.4,3.15
6.18,11.23,101.29,3.31,19.47,20.38,0.64,2.82,1.09,109.59,16.6,2.38
0.01,10.93,101.51,5.29,20.19,20.87,7,4.13,1.27,118.54,140,3.27
0,8.42,102.05,5.52,19.12,20.25,6.7,4.51,1.52,120.86,135.5,3.68
0,8.24,102.41,3.3,19.23,20.37,7.35,2.79,1.84,129.76,145.1,2.34
0.01,9.58,102.44,4.12,20.57,21.17,6.98,3.38,1.21,116.36,140.6,2.75
1.97,12.27,101.93,8.97,20.93,20.94,3.71,7.17,1.62,116.99,79,5.68
0.29,13.24,101.46,2.1,22.04,22.22,4.92,1.65,1.82,128.51,102.9,1.34
0.01,11.72,101.5,3.95,21.3,21.95,7,3.27,1.75,127.49,139.9,2.64
0,11.29,101.38,3.57,22.03,22.27,6.8,2.84,1.27,109.38,135.7,2.27
1.03,13.98,101.35,5.09,21.75,22.11,5.65,3.83,1.48,115.26,115.4,3.03
2.8,14.89,101.75,4.64,22.05,22.01,4.39,3.53,1.69,126.55,92.5,2.76
0.78,13.79,102.05,8.6,21.28,21.69,4.93,7.12,1.3,119.09,103.3,5.68
0.62,14.83,101.97,4.8,21.99,22.2,4.43,3.55,0.5,109.34,94.3,2.73
0.74,15.62,102,5.26,22.72,22.7,5.67,3.52,1.3,121.55,118.7,2.58
2.23,16.24,101.79,4.6,23.23,23.1,5.82,3.01,1.64,121.87,118.9,2.13
2.87,16.48,101.4,4.43,23.33,22.97,2.87,2.79,1.55,118.91,63.8,2.02
9.34,16.6,101.07,4.79,23.53,23.19,4.1,3.13,1.2,109.49,86.4,2.34
11.78,14.59,100.9,5.23,22.72,22.58,4.28,3.9,1.56,121.25,88.6,2.98
0,6.84,102.3,8.16,16.72,19.26,6.11,6.86,0.5,116.47,123.5,5.56
0.02,7.69,102.89,5.92,16.88,19.17,6.49,5.03,1.52,111.91,127.3,4.16
0.01,8.12,102.54,3.5,17.61,19.78,5.94,2.99,1.58,115.27,119.5,2.53
0.03,10.5,101.93,7.09,19.5,20.37,5.63,5.64,1.55,112.51,114.4,4.54
0.45,12.45,101.77,4.47,21.25,21.56,5.49,3.35,1.52,114.1,112.9,2.65
0.71,12.94,101.98,3.62,21.27,21.51,5.1,2.91,1.63,114.47,105.6,2.3
0.09,13.24,101.96,4.56,20.85,21.35,5.46,3.75,1.61,115.98,112.2,2.98
3.06,14.95,101.46,7.61,22.33,22.3,5.59,5.92,1.5,110.63,114.9,4.62
5.09,13.18,101.15,5.8,22.25,22.04,4.43,4.31,0.36,88.84,92.9,3.31
0.1,12.15,101.2,5.16,20.27,21.42,5.95,4.23,1.23,112.36,120.3,3.43
32.9,11.6,100.27,7.34,20.27,20.76,4.18,5.95,1.28,111.67,87.2,4.79
0.03,7.45,100.93,6.82,16.65,19.04,5.57,5.55,1.29,110.41,113.1,4.55
0,7.39,101.59,7.75,17.14,18.83,5.89,6.33,1.21,106.8,119,5.11
0.58,9.77,101.74,6.26,18.72,19.64,4.67,4.99,1.18,103.3,96.1,4.05
